level,power,date
29,386.6,2023-06-11
28,325.8,2023-06-11
28,313.6,2023-06-11
27,296.3,2023-06-11
27,296.2,2023-06-11
26,294.2,2023-06-11
27,282.9,2023-06-11
27,269.4,2023-06-11
26,267.4,2023-06-11
27,266.0,2023-06-11
25,258.4,2023-06-11
27,258.3,2023-06-11
26,255.3,2023-06-11
25,253.2,2023-06-11
26,252.0,2023-06-11
26,248.0,2023-06-11
25,247.5,2023-06-11
26,247.0,2023-06-11
26,246.6,2023-06-11
24,245.2,2023-06-11
27,244.7,2023-06-11
27,244.3,2023-06-11
25,240.5,2023-06-11
26,238.9,2023-06-11
26,236.1,2023-06-11
26,235.9,2023-06-11
26,233.3,2023-06-11
25,228.2,2023-06-11
24,227.5,2023-06-11
26,225.8,2023-06-11
23,224.8,2023-06-11
25,222.4,2023-06-11
25,219.4,2023-06-11
26,217.6,2023-06-11
22,215.9,2023-06-11
26,213.3,2023-06-11
26,212.2,2023-06-11
25,211.1,2023-06-11
24,207.3,2023-06-11
23,207.2,2023-06-11
24,206.1,2023-06-11
25,204.6,2023-06-11
23,200.3,2023-06-11
26,199.6,2023-06-11
25,194.4,2023-06-11
23,187.0,2023-06-11
24,183.7,2023-06-11
23,178.8,2023-06-11
24,177.3,2023-06-11
23,161.1,2023-06-11
21,158.4,2023-06-11
25,153.4,2023-06-11
23,153.2,2023-06-11
23,140.8,2023-06-11
22,105.7,2023-06-11
