level,power,date
30,500.4,2023-06-24
30,471.7,2023-06-24
29,371.8,2023-06-24
27,334.8,2023-06-24
28,322.6,2023-06-24
27,318.0,2023-06-24
27,298.9,2023-06-24
27,293.4,2023-06-24
27,278.8,2023-06-24
27,277.6,2023-06-24
25,272.6,2023-06-24
27,268.5,2023-06-24
27,267.3,2023-06-24
27,265.2,2023-06-24
24,262.1,2023-06-24
26,258.6,2023-06-24
24,249.4,2023-06-24
26,245.8,2023-06-24
23,243.3,2023-06-24
26,240.7,2023-06-24
27,236.1,2023-06-24
26,234.4,2023-06-24
23,233.5,2023-06-24
23,233.3,2023-06-24
23,229.5,2023-06-24
24,222.1,2023-06-24
24,221.0,2023-06-24
26,218.0,2023-06-24
25,217.2,2023-06-24
22,216.8,2023-06-24
25,214.1,2023-06-24
23,212.7,2023-06-24
25,211.6,2023-06-24
26,209.7,2023-06-24
25,208.8,2023-06-24
26,197.3,2023-06-24
25,191.0,2023-06-24
26,190.1,2023-06-24
25,187.8,2023-06-24
26,184.0,2023-06-24
24,177.7,2023-06-24
25,176.2,2023-06-24
22,173.8,2023-06-24
22,172.7,2023-06-24
21,164.1,2023-06-24
24,148.7,2023-06-24
24,148.3,2023-06-24
23,143.2,2023-06-24
23,142.0,2023-06-24
24,140.4,2023-06-24
24,135.3,2023-06-24
24,133.3,2023-06-24
22,128.2,2023-06-24
23,114.7,2023-06-24
22,93.9,2023-06-24
22,89.8,2023-06-24
22,86.2,2023-06-24
19,75.4,2023-06-24
19,71.3,2023-06-24
