level,power,date
29,364.2,2023-06-11
29,333.2,2023-06-11
27,309.6,2023-06-11
28,303.0,2023-06-11
28,302.7,2023-06-11
27,295.7,2023-06-11
28,295.5,2023-06-11
27,283.7,2023-06-11
27,275.9,2023-06-11
27,271.6,2023-06-11
28,261.0,2023-06-11
26,257.2,2023-06-11
26,247.3,2023-06-11
27,246.1,2023-06-11
27,237.8,2023-06-11
27,232.5,2023-06-11
24,226.6,2023-06-11
25,226.3,2023-06-11
26,224.0,2023-06-11
25,220.1,2023-06-11
26,219.9,2023-06-11
25,200.8,2023-06-11
23,200.1,2023-06-11
24,198.8,2023-06-11
26,197.5,2023-06-11
22,196.0,2023-06-11
25,195.4,2023-06-11
26,194.2,2023-06-11
26,194.1,2023-06-11
25,192.9,2023-06-11
26,192.1,2023-06-11
25,189.0,2023-06-11
26,186.5,2023-06-11
26,183.7,2023-06-11
24,182.1,2023-06-11
22,181.3,2023-06-11
25,172.1,2023-06-11
25,171.0,2023-06-11
25,166.4,2023-06-11
24,165.2,2023-06-11
26,164.9,2023-06-11
25,164.4,2023-06-11
25,163.9,2023-06-11
24,163.5,2023-06-11
25,159.3,2023-06-11
24,158.6,2023-06-11
23,155.7,2023-06-11
25,154.8,2023-06-11
24,150.5,2023-06-11
21,149.1,2023-06-11
25,144.4,2023-06-11
22,139.5,2023-06-11
21,138.9,2023-06-11
22,134.8,2023-06-11
24,131.1,2023-06-11
23,129.6,2023-06-11
22,127.4,2023-06-11
21,126.7,2023-06-11
23,118.3,2023-06-11
20,118.1,2023-06-11
24,116.0,2023-06-11
24,109.3,2023-06-11
19,93.8,2023-06-11
20,88.8,2023-06-11
21,88.4,2023-06-11
21,80.3,2023-06-11
17,53.3,2023-06-11
