level,power,date
30,446.6,2023-07-05
27,360.4,2023-07-05
27,353.6,2023-07-05
29,339.3,2023-07-05
28,332.4,2023-07-05
28,328.9,2023-07-05
28,328.5,2023-07-05
27,305.1,2023-07-05
28,302.0,2023-07-05
27,294.4,2023-07-05
28,291.6,2023-07-05
26,282.0,2023-07-05
27,271.2,2023-07-05
26,269.1,2023-07-05
25,265.6,2023-07-05
26,261.2,2023-07-05
27,258.7,2023-07-05
25,258.4,2023-07-05
28,252.1,2023-07-05
25,244.4,2023-07-05
25,243.9,2023-07-05
26,241.4,2023-07-05
26,239.9,2023-07-05
27,233.1,2023-07-05
25,231.7,2023-07-05
26,230.7,2023-07-05
26,230.1,2023-07-05
27,230.0,2023-07-05
24,228.4,2023-07-05
22,226.5,2023-07-05
27,224.7,2023-07-05
24,218.8,2023-07-05
25,214.5,2023-07-05
24,211.2,2023-07-05
26,207.9,2023-07-05
26,206.8,2023-07-05
23,203.4,2023-07-05
26,203.2,2023-07-05
24,201.1,2023-07-05
26,194.2,2023-07-05
24,193.2,2023-07-05
25,191.6,2023-07-05
23,187.5,2023-07-05
26,184.4,2023-07-05
22,183.2,2023-07-05
23,181.5,2023-07-05
23,176.2,2023-07-05
22,174.7,2023-07-05
22,173.0,2023-07-05
23,172.8,2023-07-05
26,169.1,2023-07-05
24,167.7,2023-07-05
24,167.4,2023-07-05
21,154.2,2023-07-05
22,143.3,2023-07-05
23,134.1,2023-07-05
22,90.7,2023-07-05
21,74.1,2023-07-05
17,51.2,2023-07-05
