level,power,date
29.0,287.5,2023-06-15
27.0,253.2,2023-06-15
22.0,132.4,2023-06-15
22.0,114.8,2023-06-15
22.0,113.9,2023-06-15
20.0,110.0,2023-06-15
19.0,107.5,2023-06-15
21.0,101.8,2023-06-15
20.0,94.5,2023-06-15
19.0,93.2,2023-06-15
19.0,85.8,2023-06-15
19.0,83.7,2023-06-15
18.0,80.1,2023-06-15
19.0,76.8,2023-06-15
19.0,75.2,2023-06-15
17.0,63.7,2023-06-15
18.0,60.5,2023-06-15
15.0,56.9,2023-06-15
16.0,44.9,2023-06-15
16.0,33.4,2023-06-15
15.0,32.0,2023-06-15
13.0,29.5,2023-06-15
14.0,29.0,2023-06-15
14.0,29.0,2023-06-15
14.0,28.0,2023-06-15
15.0,26.7,2023-06-15
12.0,23.2,2023-06-15
12.0,23.0,2023-06-15
10.0,16.2,2023-06-15
12.0,14.9,2023-06-15
11.0,11.5,2023-06-15
8.0,10.6,2023-06-15
8.0,6.7,2023-06-15
8.0,8.0,2023-06-15
