level,power,date
27,258.5,2023-06-24
27,253.6,2023-06-24
26,250.2,2023-06-24
26,223.9,2023-06-24
26,219.3,2023-06-24
23,201.6,2023-06-24
24,198.9,2023-06-24
26,197.9,2023-06-24
26,197.9,2023-06-24
24,193.9,2023-06-24
24,189.9,2023-06-24
24,180.6,2023-06-24
23,180.2,2023-06-24
24,180.0,2023-06-24
22,179.7,2023-06-24
24,178.0,2023-06-24
25,176.9,2023-06-24
21,175.8,2023-06-24
24,173.9,2023-06-24
24,173.6,2023-06-24
24,173.3,2023-06-24
23,173.2,2023-06-24
23,162.1,2023-06-24
24,155.8,2023-06-24
23,151.7,2023-06-24
23,142.3,2023-06-24
20,141.7,2023-06-24
24,140.2,2023-06-24
23,139.1,2023-06-24
21,138.1,2023-06-24
21,136.0,2023-06-24
21,130.9,2023-06-24
19,124.8,2023-06-24
21,121.7,2023-06-24
22,113.1,2023-06-24
20,110.1,2023-06-24
22,103.4,2023-06-24
22,102.4,2023-06-24
22,87.0,2023-06-24
23,85.7,2023-06-24
20,81.0,2023-06-24
19,78.7,2023-06-24
20,73.6,2023-06-24
20,71.9,2023-06-24
22,68.3,2023-06-24
21,66.5,2023-06-24
21,66.2,2023-06-24
20,65.3,2023-06-24
20,60.5,2023-06-24
20,58.2,2023-06-24
19,57.7,2023-06-24
16,55.9,2023-06-24
18,55.1,2023-06-24
14,46.5,2023-06-24
16,46.2,2023-06-24
17,41.6,2023-06-24
19,38.8,2023-06-24
