level,power,date
30,588.2,2023-08-04
28,412.8,2023-08-04
30,403.7,2023-08-04
29,401.2,2023-08-04
30,361.6,2023-08-04
28,355.3,2023-08-04
29,354.5,2023-08-04
28,353.3,2023-08-04
28,346.3,2023-08-04
28,338.2,2023-08-04
27,301.2,2023-08-04
25,296.0,2023-08-04
26,281.3,2023-08-04
27,254.1,2023-08-04
26,249.3,2023-08-04
26,248.2,2023-08-04
26,247.9,2023-08-04
26,246.2,2023-08-04
26,241.7,2023-08-04
26,232.0,2023-08-04
26,230.8,2023-08-04
26,228.6,2023-08-04
25,228.2,2023-08-04
26,225.3,2023-08-04
27,220.4,2023-08-04
26,218.7,2023-08-04
26,215.1,2023-08-04
25,213.5,2023-08-04
25,213.5,2023-08-04
25,211.4,2023-08-04
25,208.6,2023-08-04
25,208.2,2023-08-04
25,206.9,2023-08-04
25,203.8,2023-08-04
26,203.2,2023-08-04
25,201.5,2023-08-04
25,196.9,2023-08-04
24,183.1,2023-08-04
25,182.6,2023-08-04
25,179.6,2023-08-04
22,169.2,2023-08-04
24,168.6,2023-08-04
25,167.7,2023-08-04
25,167.5,2023-08-04
23,164.3,2023-08-04
23,160.0,2023-08-04
21,155.6,2023-08-04
23,154.8,2023-08-04
24,154.7,2023-08-04
23,153.5,2023-08-04
22,123.6,2023-08-04
23,119.7,2023-08-04
21,117.8,2023-08-04
18,65.1,2023-08-04
18,58.0,2023-08-04
