level,power,date
27,289.5,2023-07-05
27,263.5,2023-07-05
26,255.3,2023-07-05
27,240.6,2023-07-05
26,240.0,2023-07-05
25,219.3,2023-07-05
26,216.6,2023-07-05
25,213.7,2023-07-05
25,213.1,2023-07-05
25,211.9,2023-07-05
24,207.0,2023-07-05
26,203.6,2023-07-05
25,195.6,2023-07-05
25,193.5,2023-07-05
24,192.3,2023-07-05
25,190.7,2023-07-05
24,188.6,2023-07-05
24,187.5,2023-07-05
24,184.6,2023-07-05
23,182.9,2023-07-05
25,182.5,2023-07-05
25,182.3,2023-07-05
25,180.5,2023-07-05
24,175.7,2023-07-05
22,174.6,2023-07-05
24,171.8,2023-07-05
24,170.4,2023-07-05
23,163.8,2023-07-05
23,163.0,2023-07-05
25,159.1,2023-07-05
24,158.1,2023-07-05
25,158.1,2023-07-05
24,157.2,2023-07-05
23,154.6,2023-07-05
24,153.1,2023-07-05
24,146.5,2023-07-05
24,144.4,2023-07-05
25,141.6,2023-07-05
22,139.4,2023-07-05
22,118.6,2023-07-05
21,100.5,2023-07-05
22,97.7,2023-07-05
20,95.9,2023-07-05
22,94.6,2023-07-05
19,89.5,2023-07-05
22,86.3,2023-07-05
21,85.9,2023-07-05
21,82.7,2023-07-05
21,70.3,2023-07-05
