level,power,date
29,385.8,2023-07-05
29,373.6,2023-07-05
27,297.1,2023-07-05
27,293.9,2023-07-05
28,287.6,2023-07-05
28,281.4,2023-07-05
27,262.2,2023-07-05
26,240.9,2023-07-05
27,235.9,2023-07-05
26,234.5,2023-07-05
26,231.2,2023-07-05
26,230.9,2023-07-05
26,230.0,2023-07-05
27,229.7,2023-07-05
26,229.3,2023-07-05
26,228.1,2023-07-05
26,227.2,2023-07-05
25,224.2,2023-07-05
25,217.6,2023-07-05
22,210.7,2023-07-05
25,210.6,2023-07-05
26,208.7,2023-07-05
26,207.4,2023-07-05
26,207.3,2023-07-05
24,206.0,2023-07-05
25,203.8,2023-07-05
24,200.2,2023-07-05
25,199.6,2023-07-05
25,199.5,2023-07-05
26,198.5,2023-07-05
24,198.4,2023-07-05
24,195.8,2023-07-05
24,194.0,2023-07-05
25,193.5,2023-07-05
27,187.3,2023-07-05
25,186.6,2023-07-05
23,182.6,2023-07-05
24,182.5,2023-07-05
26,182.1,2023-07-05
25,181.5,2023-07-05
24,179.2,2023-07-05
25,178.3,2023-07-05
25,177.1,2023-07-05
24,176.1,2023-07-05
24,171.8,2023-07-05
24,170.3,2023-07-05
26,169.8,2023-07-05
24,169.8,2023-07-05
23,166.2,2023-07-05
24,163.8,2023-07-05
24,157.6,2023-07-05
23,155.2,2023-07-05
23,152.9,2023-07-05
22,149.8,2023-07-05
24,143.3,2023-07-05
24,139.1,2023-07-05
24,130.1,2023-07-05
23,126.1,2023-07-05
23,119.2,2023-07-05
23,113.9,2023-07-05
22,97.7,2023-07-05
21,94.1,2023-07-05
21,91.1,2023-07-05
