level,power,date
28,376.7,2023-08-10
28,299.8,2023-08-10
25,263.2,2023-08-10
27,258.4,2023-08-10
27,252.4,2023-08-10
26,250.5,2023-08-10
27,249.7,2023-08-10
27,248.0,2023-08-10
26,242.8,2023-08-10
27,234.6,2023-08-10
26,232.4,2023-08-10
26,230.0,2023-08-10
26,229.9,2023-08-10
27,224.0,2023-08-10
26,221.9,2023-08-10
26,213.2,2023-08-10
25,212.0,2023-08-10
25,207.4,2023-08-10
25,207.3,2023-08-10
26,202.8,2023-08-10
25,197.6,2023-08-10
26,196.4,2023-08-10
24,196.4,2023-08-10
25,183.9,2023-08-10
25,167.9,2023-08-10
25,158.4,2023-08-10
23,156.0,2023-08-10
24,155.1,2023-08-10
22,154.8,2023-08-10
24,150.8,2023-08-10
24,147.2,2023-08-10
24,131.9,2023-08-10
22,130.9,2023-08-10
23,117.9,2023-08-10
19,112.7,2023-08-10
21,108.8,2023-08-10
21,103.5,2023-08-10
22,92.2,2023-08-10
21,86.1,2023-08-10
20,79.7,2023-08-10
18,75.3,2023-08-10
21,67.2,2023-08-10
17,62.9,2023-08-10
18,59.7,2023-08-10
17,57.2,2023-08-10
16,50.7,2023-08-10
17,41.8,2023-08-10
17,40.4,2023-08-10
16,38.0,2023-08-10
15,27.3,2023-08-10
15,26.7,2023-08-10
13,18.4,2023-08-10
